title,authors,average_rating,isbn,isbn13,publication_date,publisher
World War II: A Short History,Michael J. Lyons,3.9,0130977691,9780130977694,6/19/2003,Routledge
13th Directorate,Barry Chubin,2.62,0804104557,9780804104555,2/28/1989,Ivy Books
The Sorrows of Young Werther,Johann Wolfgang von Goethe/Nathan Haskell Dole/Thomas Carlyle/R. Dillon Boylan,3.67,159569045X,9781595690456,8/15/2006,MONDIAL
Poetics,Aristotle/Malcolm Heath,3.82,0140446362,9780140446364,9/26/1996,Penguin Classics
Terrier (Beka Cooper  #1),Tamora Pierce,4.15,037581468X,9780375814686,10/24/2006,Random House
Merde Encore!: More of the Real French You Were Never Taught at School,Geneviève/Michael    Heath,3.96,0684854287,9780684854281,12/9/1998,Gallery Books
Disordered Minds,Minette Walters,3.78,0425199355,9780425199350,12/7/2004,Berkley
Black on Red: My 44 Years Inside the Soviet Union: An Autobiography,Robert Robinson/Jonathan Slevin,4.33,0874918855,9780874918854,12/31/1988,Acropolis Books (NY)
The Virgin Blue,Tracy Chevalier,3.66,0452284449,9780452284449,6/24/2003,Penguin Books
Angels,Denis Johnson,3.72,0099440830,9780099440833,3/6/2003,Vintage
Lectures on the History of Philosophy 1: Greek Philosophy to Plato,Georg Wilhelm Friedrich Hegel/E.S. Haldane/Frederick C. Beiser,4.05,0803272715,9780803272712,6/1/1995,University of Nebraska Press
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,3.88,0195125983,9780195125986,2/22/2001,Oxford University Press  USA
Of Mice and Men,John Steinbeck,3.87,0142000671,9780142000670,1/8/2002,Penguin Books
He Sees You When You're Sleeping,Mary Higgins Clark/Carol Higgins Clark,3.79,0743456866,9780743456869,11/1/2002,Pocket Books
Irish Traditional Cooking: Over 300 Recipes from Ireland's Heritage,Darina Allen/Regina Sexton,4.19,190492011X,9781904920113,12/22/2004,Kyle Books
Making a Change for Good: A Guide to Compassionate Self-Discipline,Cheri Huber,3.93,1590302087,9781590302088,3/13/2007,Shambhala
The Son Avenger (The Master of Hestviken  #4),Sigrid Undset,4.4,0679755527,9780679755524,6/24/1995,Vintage
The Talbot Odyssey,Nelson DeMille,3.85,0751531200,9780751531206,11/2/2000,Sphere
Catching Alice,Clare Naylor,3.38,0449005577,9780449005576,10/31/2000,Ballantine Books
The Girl in the Glass,Jeffrey Ford,3.72,0060936193,9780060936198,8/16/2005,William Morrow Paperbacks
La falsificadora,Jennifer Crusie/Marina Mariasch,3.92,9500426544,9789500426541,9/1/2005,Planeta Publishing
Brighid's Quest (Partholon  #5),P.C. Cast,4.14,0373802420,9780373802425,11/29/2005,Luna Books
Soldier of Sidon (Latro #3),Gene Wolfe,4.01,0765316641,9780765316646,10/31/2006,Tor Books
Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,3.91,0744520053,9780744520057,6/27/1991,Walker Books Ltd
Not Even for Love,Erin St. Claire/Sandra Brown,3.49,044661291X,9780446612913,4/1/2004,Grand Central Publishing
CliffsNotes on Joyce's Dubliners (Cliffs Notes),Adam  Sexton/G. Tubach,3.4,0764537156,9780764537158,4/25/2003,Cliffs Notes
Lipstick Jungle,Candace Bushnell,3.41,0786887079,9780786887071,8/8/2006,Hachette Books
Ender's Shadow (The Shadow Series  #1),Orson Scott Card,4.31,0765342405,9780765342409,5/19/2002,Starscape
Der lohfarbene Mann (Die zweiten Chroniken von Fitz  dem Weitseher  #1),Robin Hobb,4.31,3404283368,9783404283361,4/1/2003,Lübbe
The Lust Lizard of Melancholy Cove (Pine Cove  #2),Christopher Moore,3.87,0060735457,9780060735456,5/25/2004,William Morrow Paperbacks
The Authority  Vol. 2: Under New Management,Warren Ellis/Mark Millar/Bryan Hitch/Frank Quitely,4.15,1563897563,9781563897566,11/1/2000,Wildstorm
La conjura de los necios,John Kennedy Toole,3.89,8496333604,9788496333604,1/10/2006,Quinteto
9-11,Noam Chomsky/Greg Ruggiero/Marili Margomenou/Miguel Mora/Natalie Levisalles/Il Manifesto/Hartford Courant/David Barsamian/Radio B92/Elise Fried/Peter Kreysler/Gionarle del Popolo/Michael Albert,3.73,1583224890,9781583224892,12/4/2001,Seven Stories Press
Five Children and It,E. Nesbit/Gillian Avery,3.88,0143039156,9780143039150,12/28/2004,Penguin Classics
The Origin of the Bible,F.F. Bruce/Philip W. Comfort/Carl F.H. Henry/J.I. Packer,3.86,0842383670,9780842383677,12/17/2003,Tyndale House Publishers
The Collected Poems  1957-1987,Octavio Paz/Eliot Weinberger/Elizabeth Bishop,4.3,0811211738,9780811211734,4/17/1991,New Directions Publishing Corporation
Barnaby Rudge,Charles Dickens/John Bowen/Hablot Knight Browne,3.81,0140437282,9780140437287,2/27/2003,Penguin Books
Savage Love: Straight Answers from America's Most Popular Sex Columnist,Dan Savage,3.85,0452278155,9780452278158,10/1/1998,Penguin Books
Dancing on My Grave,Gelsey Kirkland/Greg Lawrence,3.8,051509465X,9780515094657,11/1/1987,Jove
Encyclopedia Brown and the Case of the Slippery Salamander (Encyclopedia Brown  #22),Donald J. Sobol/Warren Chang,4.08,0553485210,9780553485219,8/8/2003,Yearling
3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,4.02,0446696641,9780446696647,5/20/2005,Grand Central Publishing
Sense and Sensibility,Jane Austen/Laura Engel,4.07,1593080492,9781593080495,8/1/2003,Barnes  Noble Classics
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,0143039830,9780143039839,3/28/2006,Penguin Classics
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,0307264890,9780307264893,9/26/2006,Everyman's Library
The Capricorn Stone,Madeleine Brent,3.91,044920149X,9780449201497,5/12/1983,Fawcett
The Collected Poetry  1968-1998,Nikki Giovanni/Virginia C. Fowler,4.42,0060724293,9780060724290,1/23/2007,William Morrow
Strong Motion,Jonathan Franzen,3.52,184115749X,9781841157498,6/1/2007,Fourth Estate (GB)
Touching the Rock: An Experience of Blindness,John M. Hull/Oliver Sacks,3.98,067973547X,9780679735472,6/2/1992,Vintage
The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin/Samuel Roukin,4.12,044101125X,9780441011254,9/30/2003,Ace Books
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.88,0307383415,9780307383419,1/9/2007,Crown
Key Topics in Conservation Biology,David W. Macdonald/Alonzo C. Addison/Sandra Baker/Mark S. Boyce/David Brown/Stephen Cobb/N. Mark Collins/C. Patrick Doncaster/John E. Fa/Joshua Ginsberg/Susanna B. Hecht/Katrina Service/Steve Albon/Les Firbank/Eli Geffen/Lise Albrechtsen/Elizabeth J. Asteraki/Christian Bonacic/Marcel Cardillo/Chris R. Dickman/Stephen A. Ellwood/H. Resit Akcakaya/Ruth E. Feber,3.33,1405122498,9781405122498,1/1/2006,Wiley-Blackwell
Conversations with Bernard Malamud (Literary Conversations),J. Michael Lennon/Lawrence M. Lasher,4.0,0878054898,9780878054893,4/28/1991,University Press of Mississippi
Assumed Identity,David Morrell,3.78,0446600709,9780446600705,9/1/1994,Vision
Fever Pitch,Nick Hornby,3.74,1573226882,9781573226882,3/1/1998,Riverhead Books
Underworld,Don DeLillo,3.92,0684848155,9780684848150,7/9/1998,Scribner
Prétear  Vol. 2 (Prétear  #2),Junichi Satō/Kaori Naruse,4.0,141390145X,9781413901450,8/24/2004,ADV Manga
Seize the Night (Moonlight Bay  #2),Dean Koontz/Keith Szarabajka,4.08,0553479016,9780553479010,12/29/1998,Random House Audio Publishing Group
Malinche,Laura Esquivel/Jordi Castells/Ernesto Mestre-Reed,3.28,074329033X,9780743290333,5/2/2006,Atria Books
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,Dale Carnegie,4.17,1578660394,9781578660391,6/15/1998,Galahad Books
Treasury of American Tall Tales: Volume 1: Davy Crockett  Rip Van Winkle  Johnny Appleseed  Paul Bunyan (Rabbit Ears),David Bromberg/Jay Ungar/Molly Mason/Garrison Keillor/Mark O'Connor/Jonathan Winters/Duck Baker/Washington Irving/Anjelica Huston/Nicolas Cage/Leo Kottke,3.86,0739336509,9780739336502,8/22/2006,Listening Library (Audio)
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,4.31,1573241172,645241001173,5/31/2000,Conari Press
Selected Poems,Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,4.21,0811208990,9780811208994,9/17/1984,New Directions
Keep the Aspidistra Flying,George Orwell,3.88,0141183721,9780141183725,10/26/2000,Penguin Books Ltd
The Face of Another,Kōbō Abe/E. Dale Saunders,3.78,0375726535,9780375726538,2/4/2003,Vintage
Shadowmarch (Shadowmarch  #1),Tad Williams,3.73,0756402700,9780756402709,11/1/2005,DAW
Midnight's Children,Salman Rushdie,3.98,0330267140,9780330267144,4/8/1982,Picador
Your and My Secret  Vol. 1,Ai Morinaga,3.54,1413901433,9781413901436,7/6/2004,ADV Manga
Cosmopolis,Don DeLillo,3.22,0743244257,9780743244251,4/6/2004,Scribner
How to Travel with a Salmon & Other Essays,Umberto Eco/William Weaver,3.85,0099428636,9780099428633,4/16/2001,Vintage
PS I Love You Baby Collection,Lynda Milligan/Nancy J. Smith,4.43,0962247723,9780962247729,12/31/1990,Possibilities
Digging to America,Anne Tyler,3.55,0307263940,9780307263940,5/2/2006,Alfred A. Knopf
A Painted House,John Grisham,3.7,0385337930,9780385337939,2/3/2004,Bantam
Treasure Island #2: Off to Sea (Easy Reader Classics),Catherine Nichols/Sally Wern Comport/Robert Louis Stevenson,4.17,1402732988,9781402732980,5/28/2006,Sterling
Doubling the Point: Essays and Interviews,J.M. Coetzee/David Attwell,4.05,0674215184,9780674215184,8/12/1992,Harvard University Press
The Denial of Death,Ernest Becker/Sam Keen/Daniel Goleman,4.16,0684832402,9780684832401,5/8/1997,Free Press
Practicalities,Marguerite Duras/Barbara Bray,3.98,0802133118,9780802133113,10/22/1993,Grove Press
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,4.16,1593354746,9781593354749,6/10/2004,Brilliance Audio
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,12/14/2005,Archaia
Legacy of the Darksword (The Darksword  #4),Margaret Weis/Tracy Hickman,3.47,055357812X,9780553578126,6/1/1998,Spectra
Essentials of Conservation Biology,Richard B. Primack,3.92,087893720X,9780878937202,6/21/2007,Sinauer Associates
James and the Giant Peach,Roald Dahl/Nancy Ekholm Burkert,4.01,0553150324,9780553150322,1/1/1978,Bantam Skylark
The Waste Lands (The Dark Tower  #3),Stephen King/Ned Dameron,4.24,0747411875,9780747411871,11/12/1992,Time Warner Paperbacks
Criptonomicón II: El código Pontifex,Neal Stephenson/Pedro Jorge Romero,4.1,8466616926,9788466616928,11/1/2005,Ediciones B
Last Man Standing,David Baldacci,4.04,0743428951,9780743428958,6/3/2002,Pocket Books
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,Mark Haddon,3.31,0307275698,9780307275691,4/11/2006,Vintage
Searching for God Knows What,Donald Miller,3.92,0785263713,9780785263715,10/11/2004,Thomas Nelson
Sleeping in Flame (Answered Prayers  #2),Jonathan Carroll/Dave McKean,4.05,0765311860,9780765311863,10/1/2004,Orb Books
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,3.81,0765342537,9780765342539,9/16/2002,Tor Books
The Ballet Companion: A Dancer's Guide to the Technique  Traditions  and Joys of Ballet,Eliza Gaynor Minden,4.35,074326407X,9780743264075,10/11/2005,Touchstone
The Sword of Angels (The Bronze Knight  #3),John Marco,3.9,075640360X,9780756403607,7/1/2006,Daw Books
Giovanni and Lusanna: Love and Marriage in Renaissance Florence,Gene A. Brucker,3.57,0520244958,9780520244955,12/14/2004,University of California Press
Sherlock Holmes: The Unauthorized Biography,Nick Rennison,4.26,0871139472,9780871139474,10/11/2006,Atlantic Monthly Press
Mission: Where's June? (Disney's Little Einstein),Susan Ring/Kirk Albert Etienne/Kirk Etienne Albert/Michael James Luzzi,4.5,0786855398,9780786855391,4/5/2006,Disney Press
The Rapture: Who Will Face the Tribulation,Tim LaHaye,3.5,0736909524,9780736909525,3/1/2002,Harvest House Publishers
Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,David McCullough,4.12,0671447548,9780671447540,5/12/1982,Simon  Schuster
Star Trek: Logs Five and Six (Star Trek: Log  #5-6),Alan Dean Foster,3.65,0345495837,9780345495839,9/5/2006,Del Rey Books
Julius Caesar,William Shakespeare/Roma Gill,3.68,0198320272,9780198320272,10/17/2002,Oxford University Press  USA
Cities in Dust (Wasteland #1),Antony Johnston/Christopher Mitten,3.55,1932664599,9781932664591,4/20/2010,Oni Press
The Sun Also Rises,Ernest Hemingway,3.82,0684182602,9780684182605,10/1/1984,Scribner Book Company
The Bram Stoker Bedside Companion: 10 Stories by the Author of Dracula,Bram Stoker/Charles Osborne,3.44,0800809637,9780800809638,6/1/1973,Taplinger Publ. Company
Titan: The Life of John D. Rockefeller  Sr.,Ron Chernow,4.2,1400077303,9781400077304,3/30/2004,Vintage
Stranger in the Forest: On Foot Across Borneo,Eric Hansen,4.1,0375724958,9780375724954,11/14/2000,Vintage
Animal Farm / 1984,George Orwell/Christopher Hitchens,4.28,0151010269,9780151010264,6/1/2003,Houghton Mifflin Harcourt
The End of the Affair,Graham Greene/Monica Ali,3.94,0099478447,9780099478447,10/7/2004,Vintage Classics
Dirty Jokes and Beer: Stories of the Unrefined,Drew Carey,3.53,0786885599,9780786885596,3/15/2000,Hachette Books
Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,3.15,0312354371,9780312354374,6/27/2006,St. Martin's Griffin
Heat Wave: A Social Autopsy of Disaster in Chicago,Eric Klinenberg,3.86,0226443221,9780226443225,7/15/2003,University Of Chicago Press
Disgrace,J.M. Coetzee,3.84,0143036378,9780143036371,8/30/2005,Penguin Books
Atlas Shrugged,Ayn Rand,3.69,0525948929,9780525948926,4/21/2005,Dutton
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,0609609971,9780609609972,3/25/2003,Clarkson Potter Publishers
El Guardián,Nicholas Sparks/Ramón González Férriz,4.15,8496284530,9788496284531,4/1/2005,Roca Editorial
Middlesex,Jeffrey Eugenides,4.0,0312422156,9780312422158,9/16/2003,Picador USA
Unnatural Causes (Adam Dalgliesh #3),P.D. James,3.94,0571204104,9780571204106,5/20/2002,Penguin Books in association with Faber & Faber
The Autobiography of Henry VIII: With Notes by His Fool  Will Somers,Margaret George,4.26,0312194390,9780312194390,9/15/1998,Griffin
The Twits,Roald Dahl/Quentin Blake,3.96,0141318309,9780141318301,6/24/2004,Puffin Books
Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,0312315325,9780312315320,10/5/2004,St. Martin's Minotaur
The Diary of Anaïs Nin  Vol. 2: 1934-1939,Anaïs Nin/Gunther Stuhlmann,4.18,0156260263,9780156260268,3/25/1970,Mariner Books
The Gift of Asher Lev,Chaim Potok,4.16,0449001156,9780449001158,9/10/1997,Ballantine Books
The Mysteries of Pittsburgh,Michael Chabon,3.64,0060790598,9780060790592,7/5/2005,Harper Perennial
Tree (Eyewitness Books),David Burnie/Peter K. Chadwick,4.02,0789458209,9780789458209,6/14/2000,DK Children
Hardball: Are You Playing to Play or Playing to Win?,George Stalk Jr./Rob Lachenauer/Robert Lachenauer/John  Butman,3.49,1591391679,9781591391678,10/1/2004,Harvard Business Review Press
Conversations With God: An Uncommon Dialogue  Book 2,Neale Donald Walsch,4.13,1571740562,9781571740564,12/3/2005,Hampton Roads Publishing Company
Christopher and His Kind,Christopher Isherwood,4.11,0816638632,9780816638635,9/18/2001,Univ Of Minnesota Press
Going on Being: Buddhism and the Way of Change,Mark Epstein,3.99,0767904613,9780767904612,2/12/2002,Broadway Books
Foucault's Pendulum,Umberto Eco/William Weaver,3.89,015603297X,9780156032971,3/5/2007,Mariner Books
Die Verschwundene Katze = The Missing Cat,Chris L. Demarest,4.14,2831557437,9782831557434,1/1/1996,Berlitz Kids
Filth,Irvine Welsh,3.73,0393318680,9780393318685,9/17/1998,W. W. Norton  Company
In the Forests of the Night,Amelia Atwater-Rhodes,3.87,0440228166,9780440228165,2/2/2000,Laurel Leaf Library
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,9780765314932,8/8/2006,Tor Books
Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),Judi Barrett/Ron Barrett,4.16,0689707495,9780689707490,4/1/1982,Atheneum Books for Young Readers
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,4.29,0674991877,9780674991873,1/1/1923,Harvard University Press
Frankenstein,Mary Wollstonecraft Shelley/J. Paul Hunter,3.79,0393964582,9780393964585,12/17/1995,W. W. Norton & Company
Testaments Betrayed: An Essay in Nine Parts,Milan Kundera/Linda Asher/فروغ پوریاوری,4.04,0060927518,9780060927516,8/2/1996,Harper Perennial
Bitten (Otherworld  #1),Kelley Armstrong,4.05,0452286034,9780452286030,9/7/2004,Plume Books
Duel,Richard Matheson/Ray Bradbury,4.04,0312878265,9780312878269,1/4/2003,Tor Books
An American Childhood,Annie Dillard,3.91,0060915188,9780060915186,10/15/2013,Harper Perennial
Nature Girl,Carl Hiaasen,3.63,0307262995,9780307262998,11/14/2006,Alfred A. Knopf
Half a Life,V.S. Naipaul,3.25,037570728X,9780375707285,4/23/2009,Vintage International
Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,3.93,0745628478,9780745628479,10/15/2001,Polity Press
The Red Badge of Courage and Four Stories,Stephen Crane/James Dickey,3.35,0451526473,9780451526472,2/1/1997,Signet Classics
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,4.08,0140137343,9780140137347,7/30/1998,Penguin
50 Great Curries of India,Camellia Panjabi,4.15,1904920357,9781904920359,12/30/2005,Kyle Books
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,3.46,1576751724,9781576751725,8/27/2001,Berrett-Koehler Publishers
Fell,Warren Ellis/Ben Templesmith,4.16,1582406936,9781582406930,6/5/2007,Image Comics
A Wild Sheep Chase (The Rat  #3),Haruki Murakami/Alfred Birnbaum,3.95,037571894X,9780375718946,4/9/2002,Vintage
The Complete Plays,Christopher Marlowe/Robert Lindsey/Frank Romany,4.07,0140436332,9780140436334,11/27/2003,Penguin Classics
The View From Castle Rock,Alice Munro,3.68,0771065264,9780771065262,11/19/2008,McClelland and Stewart
Brave New World Revisited,Aldous Huxley,3.95,0060898526,9780060898526,9/5/2006,Harper Perennial Modern Classics
Shop in the Name of Love (The Cheetah Girls #2),Deborah Gregory/Paul Mantell,3.64,0786813857,9780786813858,9/15/1999,Jump at the Sun
The Deming Management Method,Mary Walton,3.95,1852521414,9781852521417,10/1/1992,Management Books 2000
The Brethren: Inside the Supreme Court,Bob Woodward/Scott Armstrong,4.11,0743274024,9780743274029,7/1/2005,Simon & Schuster
Kristy's Great Idea,Raina Telgemeier/Ann M. Martin,4.17,1417699671,9781417699674,4/1/2006,Turtleback Books
The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,Joseph McMoneagle,3.59,157174102X,9781571741028,10/1/1998,Hampton Roads Publishing Company
The Buddha in Your Mirror: Practical Buddhism and the Search for Self,Woody Hochswender/Greg Martin/Ted Morino,4.28,0967469783,9780967469782,10/1/2001,Middleway Press
The Guermantes Way (In Search of Lost Time  #3),Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin/D.J. Enright,4.3,0375752331,9780375752339,11/3/1998,The Modern Library New York
The Theory and Practice of Group Psychotherapy,Irvin D. Yalom/Molyn Leszcz,4.17,0465092845,9780465092840,7/6/2005,Basic Books
The Mysteries of Sherlock Holmes,Arthur Conan Doyle/Paul Bachem,4.18,0448409577,9780448409573,10/15/1996,Grosset & Dunlap
P.S. Your Cat Is Dead,James Kirkwood Jr.,3.75,0312321201,9780312321208,11/15/2003,St. Martin's Griffin
The Day My Butt Went Psycho,Andy Griffiths/Miles Thompson,3.73,0439424690,9780439424691,4/1/2003,Scholastic  Inc.
The Untouchable,John Banville,3.95,0679767479,9780679767473,6/30/1998,Vintage
Already Dead (Joe Pitt  #1),Charlie Huston,3.79,034547824X,9780345478245,12/27/2005,Del Rey
The Future of the Universe,Jack Meadows,3.8,1852339462,9781852339463,12/1/2006,Springer
Discourses  Books 3-4. The Enchiridion (Loeb Classical Library #218),Epictetus/William A. Oldfather,4.34,0674992407,9780674992405,1/1/1928,Harvard University Press (Cambridge)
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,3.72,0872201686,9780872201682,10/1/1993,Hackett Publishing Company  Inc.
Bright Star's Promise,Karen A. Bale,2.77,0821746219,9780821746219,7/1/1994,Zebra
Madame Bovary,Gustave Flaubert/Donada  Peters,3.67,1400132746,9781400132744,10/1/2006,Tantor Media
The Other Woman,Jane Green,3.7,0452287146,9780452287143,6/6/2006,Berkley
Selected Poems of Herman Melville,Herman Melville/Robert Penn Warren,3.77,1567922694,9781567922691,9/10/2004,David R. Godine Publisher
Maigret and the Killer,Georges Simenon/Lyn Moir,3.86,0156028417,9780156028417,6/16/2003,Mariner Books
The Ethics of Authenticity,Charles Taylor,3.92,0674268636,9780674268630,9/22/1992,Harvard University Press
Promise of the Witch King (Forgotten Realms: The Sellswords  #2),R.A. Salvatore,4.17,0786940735,9780786940738,9/12/2006,Wizards of the Coast
The Origins of Life: From the Birth of Life to the Origin of Language,John Maynard Smith/Eörs Szathmáry,4.13,019286209X,9780192862099,11/26/2000,Oxford University Press  USA
My Invented Country: A Nostalgic Journey Through Chile,Isabel Allende,3.85,006054564X,9780060545642,5/27/2003,Harper
Bite Me!: An Unofficial Guide to the World of Buffy the Vampire Slayer,Nikki Stafford,4.13,1550225405,9781550225402,9/1/2002,ECW Press
The Secretary of Dreams  Volume One,Stephen King/Glenn Chadbourne,4.47,1587671409,9781587671401,10/30/2006,Cemetery Dance Publications
Norte,Seamus Heaney/Margarita Ardanaz,4.09,8475173462,9788475173467,11/28/1992,Hiperión
Dunk,David Lubar,3.8,0618439099,9780618439096,6/7/2004,HMH Books for Young Readers
Your Best Friend's Boyfriend (Follow Your Heart  #1),J.E. Bright,3.34,0439791405,9780439791403,1/1/2006,Scholastic Paperbacks
Cloudsplitter,Russell Banks,3.91,0060930861,9780060930868,1/27/1999,Harper Perennial
The Discovery of New Worlds (Story of the World  #2),Margaret Bertha Synge,3.5,159915014X,9781599150147,1/8/2006,Yesterday's Classics
Uncharted Territory,Connie Willis,3.51,0553562940,9780553562941,6/1/1994,Spectra
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,3.84,1593083327,9781593083328,10/21/2004,Barnes  Noble Classics
Devil's Backbone,Terry C. Johnston,4.17,0312925743,9780312925741,8/15/1991,St. Martin's Press
Last Wish (Sweet Valley High),Francine Pascal,3.91,0553507354,9780553507355,5/1/1999,Bantam Books
Be the Person You Want to Find: Relationship and Self-Discovery,Cheri Huber/June Shiver,4.25,0963625527,9780963625526,9/1/1997,Keep It Simple Books
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.35,0060856262,9780060856267,4/4/2006,Harper Perennial
The Coffin Dancer (Lincoln Rhyme  #2),Jeffery Deaver,4.16,0743275039,9780743275033,11/1/2004,Simon & Schuster
I Never Promised You a Rose Garden,Hannah  Green/Joanne Greenberg,3.87,0451131363,9780451131362,3/1/1965,Signet
Wild Ducks Flying Backward,Tom Robbins,3.55,0553383531,9780553383539,8/29/2006,Bantam
Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitler's Eagle's Nest,Stephen E. Ambrose,4.43,0743464117,9780743464116,9/1/2002,Simon & Schuster; Media Tie-In edition
The Great Good Place: Cafes  Coffee Shops  Bookstores  Bars  Hair Salons  and Other Hangouts at the Heart of a Community,Ray Oldenburg,3.83,1569246815,9781569246818,8/18/1999,Da Capo Press
Metamorphosis (Star Trek: The Next Generation),Jean Lorrah,3.72,0671684027,9780671684020,3/1/1990,Pocket Books
Che Guevara: A Revolutionary Life,Jon Lee Anderson/José Hernández/Leena Nivala,4.12,0802135587,9780802135582,3/9/1998,Grove Press (NYC)
The Michael Crichton Collection: Jurassic Park / The Lost World / The Andromeda Strain,Michael Crichton/Chris Noth/Anthony Heald,4.29,0375415807,9780375415807,6/9/2000,Random House Audio
Sugarplums and Scandal  (Love at Stake #2.5; Bed-and-Breakfast Mysteries #22.5),Lori Avocato/Dana Cameron/Mary Dahiem/Suzanne Macpherson/Cait London/Kerrelyn Sparks/Mary Daheim,3.98,0061136956,9780061136955,10/31/2006,Avon
The Ionian Mission (Aubrey/Maturin  #8),Patrick O'Brian/Simon Vance,4.32,0786177837,9780786177837,10/1/2005,Blackstone Audiobooks
The Changeling,Kate Horsley,3.55,1590301943,9781590301944,4/12/2005,Shambhala
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,0812969707,9780812969702,9/12/2006,Random House
Scar Lover,Harry Crews,3.79,0671797867,9780671797867,2/23/1993,Touchstone
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,4.26,0486440915,9780486440910,5/5/2005,Dover Publications
A Tale of Love and Darkness,Amos Oz/Nicholas de Lange,4.22,015603252X,9780156032520,11/1/2005,Harvest / Harcourt
Strangers,Dean Koontz,4.0,0425181111,9780425181119,10/1/2002,Berkley
The Death of Virgil,Hermann Broch/Jean Starr Untermeyer,4.19,0679755489,9780679755487,1/15/1995,Vintage
The Mistress's Daughter,A.M. Homes,3.28,0670038385,9780670038381,4/5/2007,Viking
The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,4.02,0451529758,9780451529756,5/3/2005,Signet Classics
A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,0061171468,9780061171468,3/28/2006,William Morrow Paperbacks
Strings  Conformal Fields  and M-Theory (Graduate Texts in Contemporary Physics),Michio Kaku,4.15,0387988920,9780387988924,12/17/1999,Springer
Twisted: The Collected Short Stories,Jeffery Deaver,3.93,0743491599,9780743491594,11/1/2004,Pocket Books
Aliens: Nightmare Asylum,Steve Perry,3.67,0553561588,9780553561586,4/1/1993,Spectra Books
Shattered Air: A True Account of Catastrophe and Courage on Yosemite's Half Dome,Bob Madgic/William L. Crary/Adrian Esteban,3.77,1580801420,9781580801423,2/6/2007,Burford Books
Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,Edith Wharton/Cynthia Griffin Wolff,4.22,0940450534,9780940450530,4/1/1990,Library of America
What Life Was Like Amid Splendor and Intrigue: Byzantine Empire  AD 330-1453,Ellen Anker/Denise Dersin,3.68,0783554575,9780783554570,5/24/1999,Time Life Medical
Big Baby,Charles Burns,3.96,1560978007,9781560978008,2/17/2007,Fantagraphics
Excellence,John W. Gardner,3.82,0393312879,9780393312874,4/17/1995,W. W. Norton  Company
Dark Horse Deluxe Journal: Craig Thompson's Angels and Demons,Craig Thompson,3.52,1593070691,9781593070694,12/30/2003,Dark Horse
Total Eclipse,John Brunner,3.44,0879979119,9780879979119,2/7/1984,DAW
Savage Inequalities: Children in America's Schools,Jonathan Kozol,4.25,0060974990,9780060974992,6/12/1992,Harper Perennial
Stopping by Woods on a Snowy Evening,Robert Frost/Susan Jeffers,4.4,0525467343,9780525467342,9/24/2001,Dutton Children's Books
